    active_jobs_ID job_pool ready_queue                              wait_queue
0               []       []          []  [11, 15, 14, 7, 9, 4, 3, 8, 19, 2, 13]
1               []       []     [5, 16]  [11, 15, 14, 7, 9, 4, 3, 8, 19, 2, 13]
2     [2, 1, 4, 3]       []        [21]  [11, 15, 14, 7, 9, 4, 3, 8, 19, 2, 13]
3     [2, 1, 4, 3]       []          []  [11, 15, 14, 7, 9, 4, 3, 8, 19, 2, 13]
4     [2, 1, 4, 3]       []        [22]  [11, 15, 14, 7, 9, 4, 3, 8, 19, 2, 13]
5     [2, 1, 4, 3]       []  [1, 10, 6]  [11, 15, 14, 7, 9, 4, 3, 8, 19, 2, 13]
6  [2, 1, 4, 3, 0]       []     [23, 0]  [11, 15, 14, 7, 9, 4, 3, 8, 19, 2, 13]
